iso3,economic,safety,healthcare,education_innovation,environment,infrastructure,governance,migration_friendliness,final_score_raw,final_score,rank
SGP,0.5614869711494351,0.8118215846321781,0.6177947492124165,0.4858845978981413,0.3404433016352162,0.9459592740044022,1.0,0.3573352538102968,0.6185136913517492,1.0,1
DNK,0.49861988048252925,0.8261376923121428,0.7949821058215646,0.4494760203191417,0.606320371286705,0.5071725075138249,0.7335909055627958,0.1082502143605712,0.5451816217543165,0.8814382436107971,2
NOR,0.388922489908897,0.8453082921560174,0.8703453267635387,0.38429753620323587,0.7735246876931492,0.5092212134987122,0.7017986151508917,0.13610748315919693,0.5408583763216784,0.8744485108157322,3
AUS,0.29071118427362225,0.7677001546537937,0.7779797024876585,0.40945694567587587,0.5114298664948299,0.9728763987282649,0.6649745012981225,0.28601970116301617,0.535056994245877,0.8650689576111417,4
FIN,0.43413152819912737,0.7980720155670256,0.7043235448550752,0.5479846027675505,0.7440990847375021,0.4885699171269866,0.6257700596789175,0.07143637947283771,0.5294428903743639,0.8559921918903317,5
USA,0.350394383569323,0.3196317663203154,0.8928547130379001,0.9334866144603462,0.5334136837016576,0.9667993729527751,0.2729442035547862,0.7704006144226775,0.526352414539047,0.8509955751969119,6
SWE,0.32644832248911515,0.7736633330255691,0.7883243396192731,0.4818036639848705,0.721098202003082,0.5114467835603222,0.6117439555094684,0.1713740784078777,0.5091852164304627,0.8232400083458924,7
CAN,0.3492325389113915,0.7045692065869454,0.6725776733318503,0.33639007630101037,0.6012391692728294,0.6329314418592483,0.615983698285006,0.24809858207698296,0.48785352954576766,0.7887513831416951,8
NZL,0.261187550366134,0.7558164860823788,0.6975183362817649,0.2993201206250261,0.6233514066901095,0.49508482130309817,0.8070535276850601,0.2071481531491013,0.48147252704903043,0.7784347117632626,9
MLT,0.4542180531724212,0.6779666375832817,0.7253580724581439,0.23115884766456496,0.3841758996289276,0.9228569538494846,0.386989533865027,0.2547238855732445,0.48069535383217266,0.7771781943607791,10
NLD,0.3176579848327576,0.7527815088223409,0.756026499940366,0.39689162961522956,0.4814068231466818,0.4963914284264163,0.5818175029788507,0.14741368671486713,0.4622813308162426,0.7474067870768327,11
GBR,0.25369066033656656,0.7108611741399448,0.6904330551982135,0.45341953863916745,0.5348521635594222,0.5370615629097429,0.4312993918705042,0.26045127879814634,0.44914041323291126,0.7261608263696216,12
